#Forecast Report,,,,,,,,,,,,,,,,,,,,,,,
#Date Period:,01/05/21 - 31/05/21,,,,,,,,,,,,,,,,,,,,,,
#Site,Time zone,Activity,Day,Interaction Volume,AHT,Calculated Staffing,Required Staffing,Service Level,ASA,Abandoned %,Max. Occupancy,Historical data IV,Historical data AHT,Interaction Volume Totals,AHT Totals,Calculated Staffing ,Required Staffing ,Service Level Totals,ASA Totals,Abandoned % Totals,Max. Occupancy Totals,Historical data IV ,Historical data AHT 
Tech Mahindra,AET,Inbound Consumer Care,01/05/21,"1,985",651.81,433.75,602.00,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,02/05/21,"1,448",616.70,312.00,434.00,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,03/05/21,"3,884",687.51,848.75,"1,179.00",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,04/05/21,"3,782",658.18,798.00,"1,108.50",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,05/05/21,"3,586",619.56,717.25,997.00,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,06/05/21,"3,690",638.14,756.25,"1,051.50",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,07/05/21,"3,567",638.94,733.00,"1,019.00",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,08/05/21,"1,880",584.86,374.75,522.00,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,09/05/21,"1,378",553.33,271.75,378.00,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,10/05/21,"3,883",687.36,848.25,"1,179.00",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,11/05/21,"3,779",657.99,796.75,"1,107.25",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,12/05/21,"3,586",619.42,717.00,995.75,,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
Tech Mahindra,AET,Inbound Consumer Care,13/05/21,"3,689",637.99,756.00,"1,051.50",,,,,,0.00,"93,993",636.98,"19,462.25","27,051.75",,,,,,0.00
